data_extracao;dep_administrativa;tipo;codigo;inep;nome;abr_nome;logradouro;numero;bairro;cep;latitude;longitude;telefone;email;url_website;blog;twitter;facebook;reg_conselho_tutelar;desc_reg_conselho_tutelar;reg_orcamento_part;desc_reg_orcamento_part;situacao_funcionamento;convenio_municipal;convenio_estadual;convenio_federal;convenio_fasc;escola_especial;cat_part_privada;cat_part_comunitaria;cat_part_confessional;cat_part_filantropica;mant_empresa_privada;mant_sindicato;mant_sistema_s;mant_ong;mant_apae
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÇÃO INFANTIL;101;43107672;EMEI JP CANTINHO AMIGO                                  ;CANTINHO                      ;PCA GARIBALDI                                     ;1;AZENHA              ;90050020  ;-30.044099999999997;-51.21939999999999;32271906            ;emei.cantinhoamigo@smed.prefpoa.com.br            ;http://websmed.portoalegre.rs.gov.br/escolas/cantinhoamigo/                                         ;;;;8;CENTRO;16;CENTRO;EM ATIVIDADE;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÇÃO INFANTIL;102;43107680;EMEI JP CIRANDINHA                                      ;CIRANDINHA                    ;RUA VINTE E QUATRO DE OUTUBRO                     ;211;INDEPENDÊNCIA       ;90510002  ;-30.0278;-51.205;33461600            ;emei.cirandinha@smed.prefpoa.com.br               ;http://websmed.portoalegre.rs.gov.br/escolas/cirandinha/                                            ;;;;8;CENTRO;16;CENTRO;EM ATIVIDADE;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÇÃO INFANTIL;103;43107699;EMEI JP GIRAFINHA                                       ;GIRAFINHA                     ;PCA JAYME TELLES                                  ;1;SANTANA             ;90650100  ;-30.0521;-51.2053;32895924            ;emei.girafinha@smed.prefpoa.com.br                ;http://websmed.portoalegre.rs.gov.br/escolas/girafinha/                                             ;;;;8;CENTRO;16;CENTRO;EM ATIVIDADE;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÇÃO INFANTIL;104;43107702;EMEI JP MEU AMIGUINHO                                   ;MEU AMIGUINHO                 ;R SAO CARLOS                                      ;636;FLORESTA            ;90220121  ;-30.0206;-51.2102;32276003            ;emei.meuamiguinho@smed.prefpoa.com.br             ;http://websmed.portoalegre.rs.gov.br/escolas/meuamiguinho/                                          ;;;;8;CENTRO;16;CENTRO;EM ATIVIDADE;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÇÃO INFANTIL;105;43107710;EMEI JP PASSARINHO DOURADO                              ;PASSARINHO DOURADO            ;AV GUIDO MONDIN                                   ;1;SÃO GERALDO         ;90230260  ;-30.011;-51.1958;33372537            ;emei.passarinhodourado@smed.prefpoa.com.br        ;http://websmed.portoalegre.rs.gov.br/escolas/passarinhodourado/                                     ;;;;1;ILHAS, HUMAITA/NAVEGANTES;1;HUMAITÁ/NAVEGANTES;EM ATIVIDADE;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÇÃO INFANTIL;106;43108369;EMEI JP PATINHO FEIO                                    ;PATINHO FEIO                  ;AV BRASIL                                         ;593;SÃO GERALDO         ;90230061  ;-30.0051;-51.2013;33742994            ;emei.patinhofeio@smed.prefpoa.com.br              ;http://websmed.portoalegre.rs.gov.br/escolas/patinhofeio/                                           ;;;;2;SARANDI/NORTE;1;HUMAITÁ/NAVEGANTES;EM ATIVIDADE;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÇÃO INFANTIL;107;43107729;EMEI JP PICA-PAU AMARELO                                ;PICA-PAU                      ;PCA GEN OSORIO                                    ;1;CENTRO HISTÓRICO    ;90010520  ;-30.034599999999998;-51.2363;32275865            ;emei.picapauamarelo@smed.prefpoa.com.br           ;                                                                                                    ;;;;8;CENTRO;16;CENTRO;EM ATIVIDADE;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÇÃO INFANTIL;108;43173705;EMEI BAIRRO CAVALHADA                                   ;CAVALHADA                     ;R CANELA                                          ;180;CAVALHADA           ;91740190  ;-30.0994;-51.2293;32413604            ;emei.bairrocavalhada@smed.prefpoa.com.br          ;http://websmed.portoalegre.rs.gov.br/escolas/cavalhada/                                             ;;;;6;CENTRO SUL/SUL;12;CENTRO-SUL;EM ATIVIDADE;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÇÃO INFANTIL;109;43173691;EMEI ÉRICO VERÍSSIMO                                    ;ÉRICO VERÍSSIMO               ;R MODESTO FRANCO                                  ;100;PASSO DAS PEDRAS    ;91230100  ;-30.0146;-51.1276;33481408            ;leticiasaldanha@hotmail.com                       ;                                                                                                    ;;;;2;SARANDI/NORTE;14;EIXO BALTAZAR;EM ATIVIDADE;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÇÃO INFANTIL;110;43173683;EMEI JARDIM BENTO GONÇALVES                             ;BENTO GONÇALVES               ;R SARGENTO EXPED GERALDO SANTANA                  ;40;PARTENON            ;91530640  ;-30.07;-51.1562;33156120            ;emei.bentogoncalves@smed.prefpoa.com.br           ;http://websmed.portoalegre.rs.gov.br/escolas/bentogoncalves/                                        ;;;;4;PARTENON;7;PARTENON;EM ATIVIDADE;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO
